ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       655
トリガ点,         0
開始時刻,2021-07-31,14:22:43
終了時刻,2021-07-31,14:33:37
トリガ時刻,2021-07-31,14:22:43
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
        98,2021/7/31,14:24:20,     0,- 0.015,- 0.195,LLLL,LLLL
        99,2021/7/31,14:24:21,     0,- 0.188,+ 0.096,LLLL,LLLL
       100,2021/7/31,14:24:22,     0,+ 0.040,+ 0.133,LLLL,LLLL
       101,2021/7/31,14:24:23,     0,+ 0.092,- 0.196,LLLL,LLLL
       102,2021/7/31,14:24:24,     0,- 0.050,- 0.191,LLLL,LLLL
       103,2021/7/31,14:24:25,     0,- 0.111,- 0.091,LLLL,LLLL
       104,2021/7/31,14:24:26,     0,+ 0.097,- 0.066,LLLL,LLLL
       105,2021/7/31,14:24:27,     0,- 0.061,- 0.318,LLLL,LLLL
       106,2021/7/31,14:24:28,     0,- 0.034,- 0.069,LLLL,LLLL
       107,2021/7/31,14:24:29,     0,+ 0.014,- 0.244,LLLL,LLLL
       108,2021/7/31,14:24:30,     0,- 0.040,- 0.330,LLLL,LLLL
       109,2021/7/31,14:24:31,     0,- 0.102,- 0.297,LLLL,LLLL
       110,2021/7/31,14:24:32,     0,- 0.030,- 0.184,LLLL,LLLL
       111,2021/7/31,14:24:33,     0,+ 0.219,- 0.401,LLLL,LLLL
       112,2021/7/31,14:24:34,     0,- 0.053,- 0.167,LLLL,LLLL
       113,2021/7/31,14:24:35,     0,- 0.069,- 0.306,LLLL,LLLL
       114,2021/7/31,14:24:36,     0,+ 0.081,- 0.121,LLLL,LLLL
       115,2021/7/31,14:24:37,     0,- 0.118,- 0.047,LLLL,LLLL
       116,2021/7/31,14:24:38,     0,- 0.094,- 0.028,LLLL,LLLL
       117,2021/7/31,14:24:39,     0,+ 0.308,- 0.219,LLLL,LLLL
       118,2021/7/31,14:24:40,     0,- 0.016,- 0.113,LLLL,LLLL
       119,2021/7/31,14:24:41,     0,- 0.030,- 0.339,LLLL,LLLL
       120,2021/7/31,14:24:42,     0,- 0.053,- 0.445,LLLL,LLLL
